Source,Target,Type,Id,Weight
32,95,Undirected,308,0.33808
32,98,Undirected,309,0.347855
33,87,Undirected,310,13.3493
33,88,Undirected,311,140.617
33,90,Undirected,312,1.51055
33,91,Undirected,313,1.09439
33,92,Undirected,314,0.787696
33,93,Undirected,315,0.783853
33,94,Undirected,316,0.854287
33,95,Undirected,317,0.858584
33,97,Undirected,318,0.602404
33,98,Undirected,319,0.622221
33,100,Undirected,320,0.528544
34,10,Undirected,321,2.03785
34,27,Undirected,322,1.61855
34,28,Undirected,323,1.22975
34,30,Undirected,324,1.03795
34,31,Undirected,325,1.77737
34,38,Undirected,326,0.960675
34,39,Undirected,327,0.972284
34,44,Undirected,328,0.920527
34,50,Undirected,329,0.805768
34,62,Undirected,330,0.561394
34,98,Undirected,331,0.148119
35,11,Undirected,332,13.6322
35,49,Undirected,333,2.22509
35,58,Undirected,334,1.15482
35,60,Undirected,335,1.3424
35,65,Undirected,336,1.11019
35,66,Undirected,337,1.24838
35,67,Undirected,338,0.983361
35,72,Undirected,339,0.752547
35,74,Undirected,340,0.595452
35,76,Undirected,341,0.525775
35,78,Undirected,342,0.525781
35,85,Undirected,343,0.678008
36,6,Undirected,344,44.2468
36,11,Undirected,345,0.694479
36,31,Undirected,346,14.2875
36,47,Undirected,347,5.49348
36,63,Undirected,348,2.49932
36,64,Undirected,349,2.21042
36,79,Undirected,350,0.689653
36,83,Undirected,351,0.480302
36,84,Undirected,352,0.494309
36,85,Undirected,353,0.486378
36,88,Undirected,354,0.380941
36,89,Undirected,355,0.427114
37,10,Undirected,356,0.694315
37,86,Undirected,357,28.5146
37,87,Undirected,358,8.56381
37,91,Undirected,359,1.13809
37,92,Undirected,360,0.84707
37,94,Undirected,361,0.911528
37,95,Undirected,362,0.915661
37,96,Undirected,363,0.717321
37,97,Undirected,364,0.663463
37,98,Undirected,365,0.683423
37,99,Undirected,366,0.659196
37,100,Undirected,367,0.588335
38,3,Undirected,368,2.15058
38,8,Undirected,369,2.1304
38,15,Undirected,370,1.89652
38,23,Undirected,371,1.44937
38,27,Undirected,372,1.74283
38,34,Undirected,373,1.0058
38,44,Undirected,374,0.984361
38,46,Undirected,375,0.941896
38,50,Undirected,376,0.860465
38,54,Undirected,377,0.633546
38,62,Undirected,378,0.597531
38,87,Undirected,379,0.209817
39,3,Undirected,380,2.00816
39,8,Undirected,381,1.98914
39,10,Undirected,382,2.05653
39,25,Undirected,383,0.694433
39,27,Undirected,384,1.62455
39,30,Undirected,385,1.03264
39,34,Undirected,386,0.933961
39,44,Undirected,387,0.913935
39,46,Undirected,388,0.874282
39,50,Undirected,389,0.798285
39,54,Undirected,390,0.586836
39,62,Undirected,391,0.55333
40,7,Undirected,392,12.6113
40,21,Undirected,393,6.37377
40,29,Undirected,394,4.34962
40,49,Undirected,395,1.88457
40,58,Undirected,396,0.994294
40,59,Undirected,397,1.51797
40,65,Undirected,398,0.956662
40,67,Undirected,399,0.849456
40,72,Undirected,400,0.653283
40,74,Undirected,401,0.518884
40,76,Undirected,402,0.459017
40,78,Undirected,403,0.459023
41,45,Undirected,404,2.06493
41,70,Undirected,405,13.3592
41,82,Undirected,406,858.831
41,91,Undirected,407,0.998969
41,92,Undirected,408,0.752211
41,93,Undirected,409,0.749008
41,94,Undirected,410,0.807228
41,95,Undirected,411,0.810762
41,96,Undirected,412,0.640728
41,97,Undirected,413,0.594157
41,98,Undirected,414,0.611437
41,100,Undirected,415,0.528882
42,4,Undirected,416,0.694297
42,86,Undirected,417,70.2449
42,91,Undirected,418,1.32293
42,92,Undirected,419,0.963845
42,93,Undirected,420,0.959303
42,94,Undirected,421,1.04238
42,95,Undirected,422,1.04743
42,96,Undirected,423,0.80759
42,97,Undirected,424,0.743476
42,98,Undirected,425,0.767183
42,99,Undirected,426,0.738415
42,100,Undirected,427,0.654804
43,1,Undirected,428,2.76667
43,5,Undirected,429,2.10482
43,9,Undirected,430,2.42662
43,13,Undirected,431,1.67942
43,20,Undirected,432,1.47632
43,32,Undirected,433,1.15233
43,45,Undirected,434,0.777537
43,53,Undirected,435,0.880526
43,56,Undirected,436,0.870322
43,69,Undirected,437,0.463414
43,71,Undirected,438,0.544614
43,77,Undirected,439,0.33556
44,3,Undirected,440,1.95867
44,8,Undirected,441,1.94084
44,10,Undirected,442,2.00398
44,23,Undirected,443,1.33462
44,28,Undirected,444,1.21775
44,34,Undirected,445,0.934006
44,38,Undirected,446,0.953965
44,39,Undirected,447,0.965368
44,46,Undirected,448,0.875871
44,50,Undirected,449,0.801596
44,62,Undirected,450,0.560297
44,99,Undirected,451,0.300356
45,1,Undirected,452,1.88617
45,5,Undirected,453,1.50059
45,14,Undirected,454,1.76665
45,26,Undirected,455,1.27163
45,32,Undirected,456,0.891695
45,41,Undirected,457,2.25402
45,43,Undirected,458,0.775222
45,53,Undirected,459,0.702261
45,56,Undirected,460,0.694975
45,57,Undirected,461,0.949533
45,61,Undirected,462,0.577655
45,71,Undirected,463,0.454626
46,3,Undirected,464,1.7413
46,8,Undirected,465,1.72594
46,15,Undirected,466,1.54698
46,23,Undirected,467,1.19942
46,27,Undirected,468,1.42838
46,28,Undirected,469,1.09692
46,38,Undirected,470,0.864178
46,39,Undirected,471,0.874281
46,44,Undirected,472,0.829206
46,47,Undirected,473,0.694432
46,50,Undirected,474,0.728797
46,54,Undirected,475,0.542621
47,6,Undirected,476,3.80619
47,36,Undirected,477,5.49387
47,46,Undirected,478,0.694528
47,52,Undirected,479,14.5414
47,73,Undirected,480,1.24008
47,75,Undirected,481,1.07705
47,80,Undirected,482,0.730414
47,81,Undirected,483,0.716166
47,84,Undirected,484,0.622737
47,85,Undirected,485,0.611539
47,88,Undirected,486,0.465885
47,89,Undirected,487,0.528925
48,59,Undirected,488,0.410051
48,73,Undirected,489,1.72603
48,75,Undirected,490,1.47333
48,77,Undirected,491,1.17445
48,79,Undirected,492,1.21939
48,80,Undirected,493,0.958698
48,83,Undirected,494,0.777808
48,84,Undirected,495,0.805539
48,85,Undirected,496,0.789806
48,88,Undirected,497,0.58865
48,89,Undirected,498,0.6749
48,91,Undirected,499,2.29093
49,4,Undirected,500,6.02662
49,29,Undirected,501,2.96928
49,35,Undirected,502,2.22218
49,40,Undirected,503,2.09398
49,51,Undirected,504,0.694545
49,59,Undirected,505,1.24716
49,60,Undirected,506,0.981571
49,66,Undirected,507,0.922294
49,67,Undirected,508,0.749914
49,72,Undirected,509,0.592462
49,76,Undirected,510,0.429599
49,78,Undirected,511,0.429603
50,10,Undirected,512,1.64751
50,23,Undirected,513,1.13513
50,27,Undirected,514,1.33916
50,28,Undirected,515,1.04283
50,34,Undirected,516,0.814519
50,38,Undirected,517,0.830787
50,39,Undirected,518,0.840067
50,44,Undirected,519,0.798609
50,46,Undirected,520,0.766943
50,56,Undirected,521,0.530564
50,62,Undirected,522,0.503126
50,86,Undirected,523,5.97514
51,18,Undirected,524,42.5971
51,49,Undirected,525,0.694537
51,63,Undirected,526,4.93029
51,64,Undirected,527,4.15766
51,73,Undirected,528,1.31842
51,80,Undirected,529,0.765446
51,81,Undirected,530,0.750155
51,83,Undirected,531,0.629175
51,84,Undirected,532,0.650241
51,85,Undirected,533,0.638297
51,88,Undirected,534,0.483604
51,89,Undirected,535,0.5504
52,47,Undirected,536,18.2572
52,63,Undirected,537,5.72951
52,73,Undirected,538,1.58982
52,77,Undirected,539,1.12237
52,79,Undirected,540,1.16144
52,80,Undirected,541,0.931868
52,81,Undirected,542,0.913532
52,83,Undirected,543,0.76815
52,84,Undirected,544,0.793504
52,85,Undirected,545,0.779141
52,88,Undirected,546,0.592452
52,89,Undirected,547,0.673184
52,92,Undirected,548,0.219685
53,5,Undirected,549,2.02375
53,9,Undirected,550,2.3069
53,14,Undirected,551,2.4201
53,20,Undirected,552,1.45564
53,26,Undirected,553,1.69027
53,32,Undirected,554,1.15364
53,43,Undirected,555,0.993645
53,45,Undirected,556,0.794845
53,56,Undirected,557,0.884741
53,61,Undirected,558,0.727585
53,68,Undirected,559,0.520942
53,69,Undirected,560,0.484315
53,71,Undirected,561,0.565591
54,3,Undirected,562,1.28059
54,8,Undirected,563,1.27196
54,10,Undirected,564,1.30239
54,15,Undirected,565,1.16937
54,23,Undirected,566,0.957862
54,27,Undirected,567,1.09913
54,28,Undirected,568,0.891932
54,30,Undirected,569,0.781427
54,38,Undirected,570,0.73506
54,39,Undirected,571,0.742097
54,46,Undirected,572,0.686185
54,70,Undirected,573,2.03021
54,89,Undirected,574,0.43226
55,73,Undirected,575,0.17573
55,82,Undirected,576,42.6709
55,87,Undirected,577,6.26717
55,90,Undirected,578,1.50205
55,91,Undirected,579,1.16704
55,92,Undirected,580,0.894311
55,93,Undirected,581,0.890722
55,94,Undirected,582,0.955764
55,95,Undirected,583,0.959683
55,96,Undirected,584,0.768598
55,98,Undirected,585,0.735281
55,99,Undirected,586,0.711344
55,100,Undirected,587,0.640692
56,1,Undirected,588,2.53496
56,2,Undirected,589,1.5805
56,5,Undirected,590,1.97663
56,9,Undirected,591,2.25067
56,26,Undirected,592,1.65329
56,32,Undirected,593,1.13137
56,43,Undirected,594,0.975324
56,45,Undirected,595,0.781148
56,50,Undirected,596,0.59175
56,53,Undirected,597,0.87861
56,61,Undirected,598,0.715369
56,69,Undirected,599,0.477063
56,71,Undirected,600,0.556757
57,45,Undirected,601,1.19843
57,65,Undirected,602,277.386
57,87,Undirected,603,4.8042
57,90,Undirected,604,1.33077
57,91,Undirected,605,1.05184
57,92,Undirected,606,0.81904
57,93,Undirected,607,0.815939
57,94,Undirected,608,0.871978
57,95,Undirected,609,0.875357
57,96,Undirected,610,0.709744
57,97,Undirected,611,0.663221
57,98,Undirected,612,0.680546
57,99,Undirected,613,0.659504
57,100,Undirected,614,0.597081
58,7,Undirected,615,3.51852
58,11,Undirected,616,3.27239
58,29,Undirected,617,2.1225
58,35,Undirected,618,1.72997
58,40,Undirected,619,1.65718
58,59,Undirected,620,1.1229
58,65,Undirected,621,0.81612
58,66,Undirected,622,0.885378
58,68,Undirected,623,11.0316
58,72,Undirected,624,0.616753
58,74,Undirected,625,0.517337
58,76,Undirected,626,0.470232
58,78,Undirected,627,0.470236
58,96,Undirected,628,0.174494
59,11,Undirected,629,5.54071
59,29,Undirected,630,3.13166
59,40,Undirected,631,2.29574
59,48,Undirected,632,0.510282
59,49,Undirected,633,1.69754
59,58,Undirected,634,1.01893
59,60,Undirected,635,1.14925
59,65,Undirected,636,0.98701
59,66,Undirected,637,1.08467
59,67,Undirected,638,0.894273
59,72,Undirected,639,0.71667
59,74,Undirected,640,0.588059
59,76,Undirected,641,0.528616
59,78,Undirected,642,0.528627
60,4,Undirected,643,3.8792
60,7,Undirected,644,4.0772
60,21,Undirected,645,2.9008
60,29,Undirected,646,2.33757
60,35,Undirected,647,1.87335
60,49,Undirected,648,1.37161
60,59,Undirected,649,1.17985
60,65,Undirected,650,0.842036
60,66,Undirected,651,0.917486
60,72,Undirected,652,0.627711
60,74,Undirected,653,0.522544
60,76,Undirected,654,0.473142
60,78,Undirected,655,0.473146
60,97,Undirected,656,0.326519
61,1,Undirected,657,2.08361
61,2,Undirected,658,1.38428
61,9,Undirected,659,1.8821
61,13,Undirected,660,1.40387
61,14,Undirected,661,1.96028
61,20,Undirected,662,1.26372
61,26,Undirected,663,1.44008
61,32,Undirected,664,1.02891
61,45,Undirected,665,0.736159
61,53,Undirected,666,0.819224
61,56,Undirected,667,0.81109
61,69,Undirected,668,0.467453
61,71,Undirected,669,0.539428
61,84,Undirected,670,0.827362
62,3,Undirected,671,1.27636
62,8,Undirected,672,1.2681
62,10,Undirected,673,1.29725
62,15,Undirected,674,1.16942
62,17,Undirected,675,2.04082
62,18,Undirected,676,2.04082
62,27,Undirected,677,1.1016
62,28,Undirected,678,0.900183
62,30,Undirected,679,0.791862
62,34,Undirected,680,0.734014
62,38,Undirected,681,0.746211
62,39,Undirected,682,0.753157
62,44,Undirected,683,0.722008
62,50,Undirected,684,0.650762
63,36,Undirected,685,3.4978
63,51,Undirected,686,6.89937
63,52,Undirected,687,6.38603
63,64,Undirected,688,2.67422
63,73,Undirected,689,1.14842
63,77,Undirected,690,0.863729
63,79,Undirected,691,0.888602
