Source,Target,Type,Id,Weight
16,43,Undirected,185,1.76955
16,52,Undirected,186,1.59095
16,54,Undirected,187,1.54953
16,80,Undirected,188,0.800761
16,87,Undirected,189,0.6303
16,94,Undirected,190,0.127146
16,96,Undirected,191,0.597377
16,97,Undirected,192,0.597183
17,3,Undirected,193,2.33602
17,6,Undirected,194,2.2702
17,7,Undirected,195,1.98079
17,8,Undirected,196,1.90084
17,31,Undirected,197,1.81278
17,46,Undirected,198,1.19154
17,67,Undirected,199,0.879992
17,75,Undirected,200,0.803932
17,79,Undirected,201,0.672227
17,85,Undirected,202,0.570203
17,86,Undirected,203,0.674992
17,89,Undirected,204,0.590797
17,93,Undirected,205,0.591379
18,11,Undirected,206,2.41951
18,16,Undirected,207,2.36147
18,29,Undirected,208,1.49174
18,35,Undirected,209,1.07483
18,40,Undirected,210,1.73502
18,43,Undirected,211,1.4363
18,52,Undirected,212,1.30578
18,54,Undirected,213,1.27522
18,80,Undirected,214,0.698078
18,87,Undirected,215,0.558859
18,96,Undirected,216,0.531547
18,97,Undirected,217,0.531392
18,99,Undirected,218,0.609918
19,2,Undirected,219,1.27302
19,4,Undirected,220,1.30083
19,10,Undirected,221,1.60114
19,14,Undirected,222,1.60111
19,28,Undirected,223,1.67921
19,59,Undirected,224,1.11482
19,63,Undirected,225,0.788275
19,65,Undirected,226,0.721121
19,71,Undirected,227,0.723312
19,76,Undirected,228,2.85481
19,96,Undirected,229,0.558606
19,99,Undirected,230,0.491215
19,100,Undirected,231,0.48455
20,22,Undirected,232,1.86346
20,31,Undirected,233,0.631597
20,39,Undirected,234,1.78327
20,56,Undirected,235,1.2154
20,66,Undirected,236,0.983768
20,72,Undirected,237,0.910965
20,73,Undirected,238,1.0115
20,74,Undirected,239,0.813417
20,77,Undirected,240,1.38965
20,90,Undirected,241,0.76779
20,91,Undirected,242,0.68232
20,95,Undirected,243,0.744156
20,98,Undirected,244,0.62413
21,12,Undirected,245,2.85101
21,15,Undirected,246,2.74822
21,22,Undirected,247,1.97911
21,55,Undirected,248,1.5955
21,59,Undirected,249,0.271145
21,65,Undirected,250,1.05822
21,66,Undirected,251,1.02325
21,74,Undirected,252,0.841847
21,76,Undirected,253,1.01392
21,84,Undirected,254,0.748125
21,91,Undirected,255,0.703207
21,94,Undirected,256,0.871023
21,98,Undirected,257,0.641955
22,1,Undirected,258,2.07985
22,20,Undirected,259,1.78174
22,21,Undirected,260,1.92099
22,48,Undirected,261,0.934116
22,54,Undirected,262,1.10003
22,57,Undirected,263,0.416858
22,58,Undirected,264,98367.3
22,60,Undirected,265,0.794105
22,62,Undirected,266,0.732035
22,66,Undirected,267,0.73153
22,84,Undirected,268,0.55752
22,91,Undirected,269,0.528023
22,94,Undirected,270,0.636593
23,9,Undirected,271,1.73165
23,13,Undirected,272,2.42066
23,30,Undirected,273,1.47021
23,31,Undirected,274,1.67344
23,51,Undirected,275,1.46262
23,70,Undirected,276,0.987646
23,73,Undirected,277,0.839105
23,87,Undirected,278,0.567154
23,88,Undirected,279,1.08698
23,92,Undirected,280,0.720714
23,93,Undirected,281,0.40616
23,97,Undirected,282,0.540413
23,100,Undirected,283,0.555179
24,34,Undirected,284,1.34309
24,49,Undirected,285,1.56162
24,50,Undirected,286,1.23317
24,56,Undirected,287,1.01033
24,60,Undirected,288,67367.6
24,63,Undirected,289,0.944221
24,64,Undirected,290,0.821457
24,68,Undirected,291,0.821457
24,69,Undirected,292,0.697212
24,72,Undirected,293,0.773527
24,73,Undirected,294,0.852574
24,76,Undirected,295,0.294122
24,90,Undirected,296,0.659369
25,1,Undirected,297,3.95893
25,37,Undirected,298,2.77034
25,44,Undirected,299,1.51096
25,47,Undirected,300,2.35873
25,69,Undirected,301,0.866156
25,72,Undirected,302,0.973064
25,81,Undirected,303,0.310547
25,83,Undirected,304,0.959967
25,86,Undirected,305,0.936548
25,90,Undirected,306,0.813895
25,91,Undirected,307,0.71977
25,96,Undirected,308,0.654417
25,98,Undirected,309,0.656089
26,27,Undirected,310,1.97235
26,42,Undirected,311,1.82275
26,44,Undirected,312,1.30981
26,51,Undirected,313,0.357559
26,61,Undirected,314,1.12973
26,69,Undirected,315,0.781746
26,74,Undirected,316,0.780279
26,77,Undirected,317,0.856251
26,81,Undirected,318,0.85624
26,86,Undirected,319,0.841005
26,90,Undirected,320,4.39526
26,91,Undirected,321,0.656982
26,98,Undirected,322,0.602017
27,26,Undirected,323,2.00048
27,40,Undirected,324,1.73653
27,41,Undirected,325,0.477915
27,42,Undirected,326,1.56192
27,57,Undirected,327,1.01948
27,61,Undirected,328,1.00224
27,76,Undirected,329,0.836205
27,77,Undirected,330,0.772517
27,81,Undirected,331,0.772517
27,83,Undirected,332,0.776249
27,84,Undirected,333,1.29638
27,86,Undirected,334,0.759544
27,99,Undirected,335,0.575533
28,4,Undirected,336,2.02243
28,10,Undirected,337,2.64425
28,14,Undirected,338,2.64418
28,19,Undirected,339,1.61426
28,44,Undirected,340,1.33873
28,49,Undirected,341,1.90242
28,69,Undirected,342,0.784559
28,74,Undirected,343,0.783042
28,89,Undirected,344,0.480855
28,91,Undirected,345,0.655972
28,98,Undirected,346,0.599652
28,99,Undirected,347,0.625746
28,100,Undirected,348,0.615989
29,9,Undirected,349,1.48857
29,11,Undirected,350,1.91796
29,18,Undirected,351,1.48918
29,35,Undirected,352,0.917447
29,40,Undirected,353,1.42243
29,43,Undirected,354,1.19769
29,54,Undirected,355,1.07401
29,56,Undirected,356,1.63441
29,78,Undirected,357,4.3961
29,80,Undirected,358,0.613675
29,87,Undirected,359,0.497721
29,96,Undirected,360,0.4747
29,97,Undirected,361,0.474569
30,9,Undirected,362,1.62691
30,13,Undirected,363,2.26462
30,23,Undirected,364,1.4141
30,32,Undirected,365,1.84626
30,45,Undirected,366,1.32538
30,57,Undirected,367,6.49112
30,58,Undirected,368,0.729353
30,64,Undirected,369,0.766191
30,68,Undirected,370,0.766191
30,87,Undirected,371,0.538211
30,88,Undirected,372,0.628249
30,96,Undirected,373,0.365646
30,100,Undirected,374,0.526927
31,6,Undirected,375,2.10835
31,8,Undirected,376,1.77724
31,9,Undirected,377,1.76036
31,13,Undirected,378,2.51518
31,17,Undirected,379,1.82499
31,20,Undirected,380,0.591718
31,23,Undirected,381,1.51528
31,53,Undirected,382,1.32812
31,79,Undirected,383,0.647431
31,85,Undirected,384,0.55107
31,87,Undirected,385,0.548267
31,92,Undirected,386,0.702647
31,93,Undirected,387,0.571117
32,30,Undirected,388,1.81313
32,34,Undirected,389,1.57443
32,41,Undirected,390,2.16611
32,50,Undirected,391,1.43551
32,56,Undirected,392,1.15845
32,58,Undirected,393,0.879293
32,64,Undirected,394,0.928713
32,68,Undirected,395,0.928713
32,75,Undirected,396,0.901836
32,78,Undirected,397,0.877841
32,82,Undirected,398,0.903257
32,84,Undirected,399,0.301043
32,88,Undirected,400,0.745781
33,1,Undirected,401,2.75906
33,44,Undirected,402,1.25035
33,54,Undirected,403,1.40356
33,56,Undirected,404,1.11128
33,62,Undirected,405,6.71916
33,66,Undirected,406,0.915929
33,71,Undirected,407,0.946937
33,72,Undirected,408,0.853385
33,74,Undirected,409,0.768648
33,88,Undirected,410,0.738087
33,89,Undirected,411,0.669465
33,90,Undirected,412,0.728625
33,96,Undirected,413,0.599475
33,98,Undirected,414,0.600852
34,5,Undirected,415,327.496
34,12,Undirected,416,1.84395
34,24,Undirected,417,1.59355
34,32,Undirected,418,1.87183
34,36,Undirected,419,1.34048
34,58,Undirected,420,0.778368
34,60,Undirected,421,0.892186
34,62,Undirected,422,0.824978
34,64,Undirected,423,0.815893
34,68,Undirected,424,0.815893
34,71,Undirected,425,0.199662
34,82,Undirected,426,0.796613
34,84,Undirected,427,0.634265
34,94,Undirected,428,0.721004
35,9,Undirected,429,1.25106
35,11,Undirected,430,1.54807
35,16,Undirected,431,1.52041
35,18,Undirected,432,1.2515
35,29,Undirected,433,1.07008
35,40,Undirected,434,1.20363
35,43,Undirected,435,1.03868
35,52,Undirected,436,0.963188
35,54,Undirected,437,0.945181
35,66,Undirected,438,1.18392
35,69,Undirected,439,3.80654
35,80,Undirected,440,0.576439
35,96,Undirected,441,0.457128
35,97,Undirected,442,0.457014
36,2,Undirected,443,1.53299
36,3,Undirected,444,3.91968
36,15,Undirected,445,1.85002
36,34,Undirected,446,1.29954
36,42,Undirected,447,0.528937
36,48,Undirected,448,1.05923
36,55,Undirected,449,1.20373
36,60,Undirected,450,0.903131
36,62,Undirected,451,0.833689
36,65,Undirected,452,0.857068
36,80,Undirected,453,0.717556
36,84,Undirected,454,0.637662
36,94,Undirected,455,0.726639
36,95,Undirected,456,0.652609
37,15,Undirected,457,0.510196
37,25,Undirected,458,3.08692
37,38,Undirected,459,2.87023
37,39,Undirected,460,1.73522
37,50,Undirected,461,1.48228
37,69,Undirected,462,0.821327
37,71,Undirected,463,1.0191
37,72,Undirected,464,0.914178
37,73,Undirected,465,1.01084
37,83,Undirected,466,0.902872
37,88,Undirected,467,0.785925
37,90,Undirected,468,0.77545
37,95,Undirected,469,0.752408
37,96,Undirected,470,0.633314
38,37,Undirected,471,2.87026
38,39,Undirected,472,2.07205
38,43,Undirected,473,0.510203
38,46,Undirected,474,1.64495
38,53,Undirected,475,1.97076
38,67,Undirected,476,1.18555
38,79,Undirected,477,0.888939
38,85,Undirected,478,0.74643
38,88,Undirected,479,0.884051
38,89,Undirected,480,0.77502
38,90,Undirected,481,0.87155
38,93,Undirected,482,0.77583
38,95,Undirected,483,0.844143
38,96,Undirected,484,0.703635
39,4,Undirected,485,0.510195
39,5,Undirected,486,2.62735
39,20,Undirected,487,1.93754
39,37,Undirected,488,1.73522
39,38,Undirected,489,2.07202
39,42,Undirected,490,1.44194
39,50,Undirected,491,1.16668
39,57,Undirected,492,0.967022
39,72,Undirected,493,0.755699
39,77,Undirected,494,0.743782
39,81,Undirected,495,0.743782
39,83,Undirected,496,0.747194
39,86,Undirected,497,0.731913
39,90,Undirected,498,0.650308
40,8,Undirected,499,0.510196
40,18,Undirected,500,2.0154
40,27,Undirected,501,1.85382
40,29,Undirected,502,1.65513
40,35,Undirected,503,1.20077
40,42,Undirected,504,1.72229
40,43,Undirected,505,1.59498
40,57,Undirected,506,1.11714
40,61,Undirected,507,1.098
40,77,Undirected,508,0.843644
40,81,Undirected,509,0.843644
40,87,Undirected,510,0.631123
40,96,Undirected,511,0.600696
40,97,Undirected,512,0.600523
41,3,Undirected,513,2.59054
41,27,Undirected,514,0.510199
41,32,Undirected,515,2.40819
41,53,Undirected,516,1.57721
41,58,Undirected,517,0.888861
41,59,Undirected,518,1.59332
41,63,Undirected,519,1.07845
41,64,Undirected,520,0.936394
41,67,Undirected,521,0.99532
41,68,Undirected,522,0.936394
41,79,Undirected,523,0.763354
41,82,Undirected,524,0.911927
41,85,Undirected,525,0.648914
41,89,Undirected,526,0.672044
42,5,Undirected,527,2.91097
42,26,Undirected,528,1.97363
42,27,Undirected,529,1.66743
42,36,Undirected,530,0.510199
42,39,Undirected,531,1.44195
42,40,Undirected,532,1.7223
42,57,Undirected,533,1.02844
42,61,Undirected,534,1.01153
42,77,Undirected,535,0.784964
42,81,Undirected,536,0.784964
42,82,Undirected,537,0.824477
42,86,Undirected,538,0.772099
42,92,Undirected,539,0.752971
42,99,Undirected,540,0.58873
